[Wed Jan 25 15:23:07.202412 2023] [proxy_fcgi:error] [pid 28360:tid 1276] [client 127.0.0.1:50224] AH01067: Failed to read FastCGI header, referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Wed Jan 25 15:23:07.202412 2023] [proxy_fcgi:error] [pid 28360:tid 1276] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:50224] AH01075: Error dispatching request to :10017: , referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Thu Jan 26 12:12:48.785546 2023] [proxy_fcgi:error] [pid 28360:tid 1276] [client 127.0.0.1:53028] AH01067: Failed to read FastCGI header, referer: http://kids-foodclub.local/wp-admin/edit.php?post_type=page
[Thu Jan 26 12:12:48.785546 2023] [proxy_fcgi:error] [pid 28360:tid 732] [client 127.0.0.1:53030] AH01067: Failed to read FastCGI header, referer: http://kids-foodclub.local/wp-admin/edit.php?post_type=page
[Thu Jan 26 12:12:48.785546 2023] [proxy_fcgi:error] [pid 28360:tid 1276] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:53028] AH01075: Error dispatching request to :10017: , referer: http://kids-foodclub.local/wp-admin/edit.php?post_type=page
[Thu Jan 26 12:12:48.785546 2023] [proxy_fcgi:error] [pid 28360:tid 732] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:53030] AH01075: Error dispatching request to :10017: , referer: http://kids-foodclub.local/wp-admin/edit.php?post_type=page
[Thu Jan 26 13:01:19.175627 2023] [proxy_fcgi:error] [pid 28360:tid 1280] [client 127.0.0.1:62025] AH01067: Failed to read FastCGI header, referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Thu Jan 26 13:01:19.175627 2023] [proxy_fcgi:error] [pid 28360:tid 1248] [client 127.0.0.1:62028] AH01067: Failed to read FastCGI header, referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Thu Jan 26 13:01:19.175627 2023] [proxy_fcgi:error] [pid 28360:tid 1276] [client 127.0.0.1:62031] AH01067: Failed to read FastCGI header, referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Thu Jan 26 13:01:19.175627 2023] [proxy_fcgi:error] [pid 28360:tid 1280] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:62025] AH01075: Error dispatching request to :10017: , referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Thu Jan 26 13:01:19.175627 2023] [proxy_fcgi:error] [pid 28360:tid 1276] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:62031] AH01075: Error dispatching request to :10017: , referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
[Thu Jan 26 13:01:19.175627 2023] [proxy_fcgi:error] [pid 28360:tid 1248] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:62028] AH01075: Error dispatching request to :10017: , referer: http://kids-foodclub.local/wp-admin/site-editor.php?postType=wp_template&postId=zeever%2F%2Ffront-page
